StartDateTime,UserId,CallType,disconnectType,Total_Handle_Time,Total_Hold_Time,Total_Talk_Time
52:35.2,8c224214-2788-46f3-9a8d-72879a77856b,Inbound_Queue,client,661.655,52.666,597.148
53:47.2,abe98fb6-ba3f-4079-9f33-fde23a046243,Inbound_Queue,peer,562.034,0,382.034
53:57.7,2bf90acd-41df-4bba-8c5a-2a3c7b9d6840,Inbound_Queue,peer,1237.142,170.008,887.134
54:10.1,d9bf7ded-41f3-4612-9b26-705798cac7aa,Inbound_Queue,peer,956.994,0,776.994
54:18.9,b7012e18-db86-4f79-9c20-63f445065951,Inbound_Queue,peer,555.711,0,375.711
54:27.9,80fbca02-82b9-4150-a5b7-245cd4a32edb,Inbound_Queue,peer,571.093,0,391.093
54:28.6,2f53e641-1a22-489b-afd5-efdd7017c3df,Inbound_Queue,peer,2133.546,784.534,1169.012
55:16.5,d1cd42d9-cdbb-425b-9c63-4b2de8ecc92f,Inbound_Queue,peer,1806.774,733.65,893.124
55:24.0,f7f9c471-4578-4226-869b-58f17ffcb657,Inbound_Queue,peer,2204.555,838.327,1186.228
55:30.3,4f33a4b0-1d58-402b-9046-16d2157e3b77,Inbound_Queue,peer,2483.641,157.483,2146.158
55:37.9,f7b69e0d-7656-439f-9383-e764e09c32ef,Inbound_Queue,peer,1878.431,383.919,1428.512
55:51.2,81ef18e0-3c16-4534-9860-b336f2338e95,Inbound_Queue,peer,444.256,0,264.256
55:55.7,79fcd683-2d7d-4f33-b685-ea21c0bd72cb,Inbound_Queue,client,18.572,0,15.046
56:41.3,a9db4161-ec04-4fe1-8fa9-4645b96ff374,Inbound_Queue,peer,1016.78,146.305,690.475
56:42.2,3ada4c7f-b585-4818-9438-b4d5f9d61989,Inbound_Queue,client,252.001,0,72.001
57:02.7,c9167e6d-1661-460e-bca6-da35ecb2866d,Inbound_Queue,transfer,1207.855,85.283,942.572
57:04.7,70f68240-114b-419f-835e-33728e8e262f,Inbound_Queue,client,424.382,3.728,240.654
57:15.4,606cab59-808d-44d7-81e8-0b1db09645de,Inbound_Queue,endpoint,796.708,326.722,382.986
57:24.1,ffbaedee-9796-469c-89b4-fd22cec5fff7,Inbound_Queue,peer,655.178,0,532.632
57:25.2,79fcd683-2d7d-4f33-b685-ea21c0bd72cb,Inbound_Queue,peer,1628.829,561.552,887.277
58:16.7,3670d403-6e94-4e4a-ac94-918146030f11,Inbound_Queue,peer,1769.707,260.314,1506.516
58:35.8,4ff996ef-9f41-4fc7-9894-333cd0364bcc,Inbound_Queue,peer,1168.841,0,988.841
58:49.2,7e343f6a-ea29-4708-b2ba-767bf4520733,Inbound_Queue,client,76.516,0,71.516
59:24.4,b8b5a757-7176-499d-b93d-8feebb36c09f,Inbound_Queue,peer,1597.08,4.311,1520.769
00:18.4,5867c9ef-4b00-4c2e-8626-049028df8d80,Inbound_Queue,peer,565.1,114.191,270.909
00:25.2,b0996dc3-b802-443c-8596-98eca7bc63f4,Inbound_Queue,peer,408.277,0,228.277
00:39.7,2dcedc95-b76c-407f-a454-c527e7b47f7a,Inbound_Queue,transfer,2120.444,934.024,1006.42
00:42.7,6607042e-58ad-440e-a713-936f3bd890f6,Inbound_Queue,peer,1119.397,0,939.397
00:51.1,e9a52a16-8aed-4650-ae12-008a27de3264,Inbound_Queue,peer,3323.251,1171.823,1971.428
01:03.3,bed34990-b428-4868-b4b3-e18e0980dedf,Inbound_Queue,peer,695.072,0,692.419
01:03.5,32e44875-c678-4915-90a3-0ce51510d912,Inbound_Queue,peer,809.95,0,807.272
01:19.2,730bd0f7-b90b-46dd-b0c5-f310d4e9784a,Inbound_Queue,peer,188.026,0,8.026
01:20.9,b4ad9889-08e7-4dd2-90c0-2fe3d2cb484a,Inbound_Queue,peer,676.922,195.815,301.107
01:40.5,6ddb2b56-0b3e-4a47-89f0-d49e23dcd237,Inbound_Queue,peer,1134.149,40.342,994.899
01:44.0,d6e29412-dfdd-45c1-a597-29a960a5c5f8,Inbound_Queue,peer,1098.18,339.111,579.069
01:47.9,809f8e6c-6117-4ab2-9100-d3a22f659893,Inbound_Queue,endpoint,602.358,25.014,397.344
01:56.5,54ea8c3b-6ecf-4585-9f16-e952cd6b249b,Inbound_Queue,peer,1486.809,0,1306.809
02:17.7,5e6b0aa5-78f6-475d-897e-fe2036aa4250,Inbound_Queue,peer,794.636,98.797,515.839
02:21.5,8a1bfa1e-a509-4159-a617-b144da7cde68,Inbound_Queue,peer,734.979,0,554.979
02:52.1,3ada4c7f-b585-4818-9438-b4d5f9d61989,Inbound_Queue,peer,221.883,0,41.883
03:10.6,f3a9065d-c4e2-44a0-a93c-bb3495afe226,Inbound_Queue,peer,516.717,0,336.717
03:14.4,8716932b-1c67-4002-8a55-9c2b20eaca79,Inbound_Queue,client,2184.337,453.678,1550.659
03:43.0,597bddf4-8a4a-4349-af69-fd25a3e396a3,Inbound_Queue,transfer,950.683,15.976,896.707
03:44.2,81ef18e0-3c16-4534-9860-b336f2338e95,Inbound_Queue,peer,928.257,66.09,682.167
03:44.7,df4e932b-8d7f-4e00-8d45-18eef77126a3,Inbound_Queue,client,206.035,0,26.035
03:49.4,b7012e18-db86-4f79-9c20-63f445065951,Inbound_Queue,peer,574.038,0,394.038
04:07.3,7e343f6a-ea29-4708-b2ba-767bf4520733,Inbound_Queue,peer,579.106,0,563.583
04:18.0,70f68240-114b-419f-835e-33728e8e262f,Inbound_Queue,peer,788.763,0,774.763
04:59.7,730bd0f7-b90b-46dd-b0c5-f310d4e9784a,Inbound_Queue,peer,1351.868,169.535,1002.333
05:15.7,0350e824-4af2-4216-90b4-0d6d6b37b894,Inbound_Queue,client,199.766,0,19.766
05:44.4,d1f986ef-1bad-4c64-9680-a3c042ffcdf3,Inbound_Queue,peer,218.385,0,127.653
06:22.9,63bb6f93-004c-4a79-8d01-7de24f75241b,Inbound_Queue,peer,1022.31,0,868.31
07:11.1,df4e932b-8d7f-4e00-8d45-18eef77126a3,Inbound_Queue,peer,2807.393,340.789,2286.604
07:13.9,b0996dc3-b802-443c-8596-98eca7bc63f4,Inbound_Queue,peer,3919.935,1339.035,2400.9
07:43.0,0c0ef954-5e4b-4029-b7b5-2348b25edf2e,Inbound_Queue,peer,406.57,0,289.057
07:48.8,255d569b-e1cf-46f4-bfba-88b4a69f5455,Inbound_Queue,peer,1113.87,359.348,713.522
08:03.7,80f64b14-0909-446c-b594-47414758f148,Inbound_Queue,peer,979.481,333.758,468.723
08:34.3,99154a69-2c6d-49b4-9778-d91b6cf6b66f,Inbound_Queue,peer,808.986,0,628.986
08:35.7,0350e824-4af2-4216-90b4-0d6d6b37b894,Inbound_Queue,peer,245.583,0,65.583
09:13.3,e9d88d3f-b816-407b-be29-e652e1ac8720,Inbound_Queue,peer,447.607,0,379.607
09:23.6,3ada4c7f-b585-4818-9438-b4d5f9d61989,Inbound_Queue,client,219.946,0,39.946
09:23.7,d1f986ef-1bad-4c64-9680-a3c042ffcdf3,Inbound_Queue,client,2908.491,1616.642,1111.849
09:29.5,e0e99868-ae4e-4d91-a609-ad1f37391890,Inbound_Queue,peer,489.904,170.375,180.881
09:33.7,a1f6fcd7-2e96-4af8-9c5d-047878b26aa4,Inbound_Queue,peer,778.455,186.884,411.571
09:43.8,5867c9ef-4b00-4c2e-8626-049028df8d80,Inbound_Queue,peer,871.779,0,691.779
10:07.5,d9bf7ded-41f3-4612-9b26-705798cac7aa,Inbound_Queue,peer,3067.158,720.173,2199.206
10:11.1,f0b45afb-1194-4ce8-8e8e-356c8c4a5474,Inbound_Queue,peer,308.684,1.031,127.653
10:12.8,37b61721-f642-4a1c-92e4-5764373107ab,Inbound_Queue,peer,852.892,0,672.892
10:32.8,660ed913-79ce-44af-8bad-77d1b6bff891,Inbound_Queue,peer,210.226,0,30.226
10:53.3,0ad1d053-a3a3-4056-a412-f4ac54609ed3,Inbound_Queue,peer,2082.703,481.624,1421.079
11:47.6,f3a9065d-c4e2-44a0-a93c-bb3495afe226,Inbound_Queue,peer,651.878,99.858,372.02
11:59.5,ffbaedee-9796-469c-89b4-fd22cec5fff7,Inbound_Queue,peer,277.29,0,216.447
12:30.8,70cdc787-a19d-4670-95ab-d5ce98e547ae,Inbound_Queue,peer,835.18,223.359,431.821
12:38.5,bed34990-b428-4868-b4b3-e18e0980dedf,Inbound_Queue,peer,827.128,0,647.128
12:38.8,b4ad9889-08e7-4dd2-90c0-2fe3d2cb484a,Inbound_Queue,peer,1865.324,941.886,743.438
12:41.6,0350e824-4af2-4216-90b4-0d6d6b37b894,Inbound_Queue,peer,608.715,0,428.715
12:58.2,20c90d44-45f8-4a87-bcc2-6951039092ad,Inbound_Queue,peer,849.078,166.668,679.632
13:24.2,b7012e18-db86-4f79-9c20-63f445065951,Inbound_Queue,peer,643.254,0,463.254
13:31.4,abe98fb6-ba3f-4079-9f33-fde23a046243,Inbound_Queue,peer,228.835,0,48.835
13:39.0,a9db4161-ec04-4fe1-8fa9-4645b96ff374,Inbound_Queue,peer,2758.353,1362.619,1215.734
14:02.0,14dfa860-b731-4b36-9e5f-e3da58bfa76f,Inbound_Queue,client,1069.622,73.37,816.252
14:05.1,94a209e5-c413-481d-8347-ff668ebd0bf6,Inbound_Queue,peer,4200.023,1545.794,2474.229
14:11.5,8edfd986-7da5-4c4b-81c3-83266f2a9955,Inbound_Queue,peer,1671.59,0,1491.59
14:22.7,1de5336c-7f42-4615-8c87-4ac11784ee8f,Inbound_Queue,peer,41.241,0,34.241
14:33.6,32e44875-c678-4915-90a3-0ce51510d912,Inbound_Queue,peer,2521.224,1314.022,1204.202
14:35.2,2bf90acd-41df-4bba-8c5a-2a3c7b9d6840,Inbound_Queue,peer,2434.054,649.471,1604.583
14:36.8,8a1bfa1e-a509-4159-a617-b144da7cde68,Inbound_Queue,peer,776.617,0,596.617
